hierarchy,store_id,year,week_num,proj_revenue,proj_units
Ex Department 1,9,2019,21,-35953.1764305274,-13977.934973596415
Ex Department 1,9,2019,22,-32922.43625205377,-12765.031722276235
Ex Department 1,9,2019,23,-34093.37156465646,-13206.583308390047
Ex Department 1,9,2019,24,-35798.04014288929,-13866.91247380955
Ex Department 1,9,2019,25,-37587.94215003375,-14560.258097500027
Ex Department 1,9,2019,26,-39467.33925753544,-15288.27100237503
Ex Department 1,9,2019,27,-41440.706220412205,-16052.684552493782
Ex Department 1,9,2019,28,-43512.74153143281,-16855.318780118472
Ex Department 1,9,2019,29,-45688.37860800445,-17698.084719124396
Ex Department 1,9,2019,30,-47972.79753840467,-18582.988955080615
Ex Department 1,9,2019,31,-46901.93774032491,-18175.39840283465
Ex Department 1,9,2019,32,-45897.028343591155,-17789.741322976373
Ex Department 1,9,2019,33,-44948.53418783321,-17422.230039125196
Ex Department 1,9,2019,34,-44055.55437064049,-17072.588273581452
Ex Department 1,9,2019,35,-43231.63906125893,-16748.941756385528
Ex Department 1,9,2019,36,-42521.8735100126,-16472.244116786056
Ex Department 1,9,2019,37,-41961.600280988496,-16255.544358835672
Ex Department 1,9,2019,38,-41564.95864528695,-16103.386514798281
Ex Department 1,9,2019,39,-41344.19789531278,-16019.074025460064
Ex Department 1,9,2019,40,-41293.33637372796,-16000.87682090103
Ex Department 1,9,2019,41,-41407.8795052464,-16045.704710822441
Ex Department 1,9,2019,42,-41680.61465898234,-16149.093197683746
Ex Department 1,9,2019,43,-42118.52357932877,-16318.29627145412
Ex Department 1,9,2019,44,-42519.78118006238,-16473.881919607327
Ex Department 1,9,2019,45,-42855.868231921035,-16604.23039189721
Ex Department 1,9,2019,46,-43119.26453601539,-16706.429006617072
Ex Department 1,9,2019,47,-43301.860799939386,-16777.336906829176
Ex Department 1,9,2019,48,-43394.91852891575,-16813.569524545943
Ex Department 1,9,2019,49,-43389.02737878989,-16811.482061767314
Ex Department 1,9,2019,50,-43274.059817329166,-16767.15192889946
Ex Department 1,9,2019,51,-43039.12293127539,-16676.360077590405
Ex Department 1,9,2019,52,-42845.98219082292,-16601.408161328192
Ex Department 1,10,2019,1,0.0,0.0
Ex Department 1,10,2019,2,0.0,0.0
Ex Department 1,10,2019,3,0.0,0.0
Ex Department 1,10,2019,4,0.0,0.0
Ex Department 1,10,2019,5,0.0,0.0
Ex Department 1,10,2019,6,0.0,0.0
Ex Department 1,10,2019,7,0.0,0.0
Ex Department 1,10,2019,8,0.0,0.0
Ex Department 1,10,2019,9,0.0,0.0
Ex Department 1,10,2019,10,0.0,0.0
Ex Department 1,10,2019,11,0.0,0.0
Ex Department 1,10,2019,12,0.0,0.0
Ex Department 1,10,2019,13,0.0,0.0
Ex Department 1,10,2019,14,0.0,0.0
Ex Department 1,10,2019,15,0.0,0.0
Ex Department 1,10,2019,16,0.0,0.0
Ex Department 1,10,2019,17,0.0,0.0
